input_type,headers,tablefmt,showindex,missingval,data_mix,size
dict_of_columns,firstrow,grid,never,default,all_strings,medium
list_of_lists,firstrow,plain,custom_iterable,default,all_strings,medium
list_of_dicts,keys,psql,custom_iterable,na,includes_none,medium
dict_of_columns,keys,github,custom_iterable,default,ints_floats,wide_text
list_of_dicts,keys,github,custom_iterable,default,includes_none,wide_text
dict_of_columns,firstrow,github,never,default,includes_none,wide_text
list_of_dicts,explicit_list,psql,never,default,all_strings,wide_text
dict_of_columns,explicit_list,psql,custom_iterable,question,includes_none,medium
list_of_lists,firstrow,github,always,na,includes_none,medium
list_of_dicts,explicit_list,github,never,default,all_strings,medium
dict_of_columns,firstrow,grid,always,default,all_strings,medium
dict_of_columns,explicit_list,plain,custom_iterable,question,includes_none,wide_text
list_of_dicts,keys,psql,custom_iterable,default,ints_floats,medium
dict_of_columns,firstrow,github,custom_iterable,default,includes_none,wide_text
list_of_dicts,explicit_list,grid,always,default,includes_none,small
list_of_dicts,explicit_list,plain,never,default,includes_none,medium
